,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueprint Name,Best Price,Outer Ring,The Forge,The Citadel,Black Rise,Molden Heath,Heimatar,Metropolis,Tash-Murkon,Devoid,The Bleak Lands,Domain,Kador,Aridia,Kor-Azor,Genesis,Sinq Laison,Everyshore,Solitude,Placid,Essence,Verge Vendor,Derelik,Khanid,Syndicate,Venal,Curse,Lonetrek,Great Wildlands,Stain
Keepstar Blueprint,"700,000,000,000.00","700,000,000,000.00","700,000,000,000.00","700,000,000,000.00",,,"700,000,000,000.00","700,000,000,000.00","700,000,000,000.00","700,000,000,000.00","700,000,000,000.00","700,000,000,000.00","700,000,000,000.00","700,000,000,000.00","700,000,000,000.00","700,000,000,000.00","700,000,000,000.00","700,000,000,000.00","700,000,000,000.00","700,000,000,000.00","700,000,000,000.00","700,000,000,000.00",,,"700,000,000,000.00",,,"700,000,000,000.00",,
Sotiyo Blueprint,"100,000,000,000.00","100,000,000,000.00","100,000,000,000.00","100,000,000,000.00",,,"100,000,000,000.00","100,000,000,000.00","100,000,000,000.00","100,000,000,000.00","100,000,000,000.00","100,000,000,000.00","100,000,000,000.00","100,000,000,000.00","100,000,000,000.00","100,000,000,000.00","100,000,000,000.00","100,000,000,000.00","100,000,000,000.00","100,000,000,000.00","100,000,000,000.00","100,000,000,000.00",,,"100,000,000,000.00",,,"100,000,000,000.00",,
Avatar Blueprint,"74,999,999,999.90",,,,,,,,"75,000,000,000.00",,"74,999,999,999.90","75,000,000,000.00","75,000,000,000.00","74,999,999,999.90","74,999,999,999.90","75,000,000,000.00",,,,,,,,,,,,,,
Erebus Blueprint,"72,499,999,999.90",,,,,,,,,,,,,,,,"72,499,999,999.90",,"72,500,000,000.00","72,499,999,999.90","72,500,000,000.00","72,499,999,999.90",,,,,,,,
Fortizar Blueprint,"70,000,000,000.00","70,000,000,000.00","70,000,000,000.00","70,000,000,000.00",,,"70,000,000,000.00","70,000,000,000.00","70,000,000,000.00","70,000,000,000.00","70,000,000,000.00","70,000,000,000.00","70,000,000,000.00","70,000,000,000.00","70,000,000,000.00","70,000,000,000.00","70,000,000,000.00","70,000,000,000.00","70,000,000,000.00","70,000,000,000.00","70,000,000,000.00","70,000,000,000.00",,,"70,000,000,000.00",,,"70,000,000,000.00",,
Leviathan Blueprint,"69,999,999,999.90",,"70,000,000,000.00","69,999,999,999.90","69,999,999,999.90",,,,,,,,,,,,,,,,,,,,,,,"70,000,000,000.00",,
Ragnarok Blueprint,"67,499,999,999.90",,,,,"67,500,000,000.00","67,499,999,999.90","67,500,000,000.00",,,,,,,,,,,,,,,,,,,,,,
Azbel Blueprint,"25,000,000,000.00","25,000,000,000.00","25,000,000,000.00","25,000,000,000.00",,,"25,000,000,000.00","25,000,000,000.00","25,000,000,000.00","25,000,000,000.00","25,000,000,000.00","25,000,000,000.00","25,000,000,000.00","25,000,000,000.00","25,000,000,000.00","25,000,000,000.00","25,000,000,000.00","25,000,000,000.00","25,000,000,000.00","25,000,000,000.00","25,000,000,000.00","25,000,000,000.00",,,"25,000,000,000.00",,,"25,000,000,000.00",,
Nyx Blueprint,"20,000,000,000.00",,,,,,,,,,,,,,,,"20,000,000,000.00",,"20,000,000,000.00","20,000,000,000.00","20,000,000,000.00","20,000,000,000.00",,,,,,,,
Hel Blueprint,"19,000,000,000.00",,,,,"19,000,000,000.00","19,000,000,000.00","19,000,000,000.00",,,,,,,,,,,,,,,,,,,,,,
